"","BelstromD_2017","RiveraV_2025","TongY_2019","WangB_2020","LindheimL_2016","WolfA_2017","KumpitschC_2020","NagataN_2022","RussoE_2018","TakahashiY_2019","JulianM_2017","YuF_2020","LundmarkA_2019","ZhuC_2018","LiuY_2019","TianN_2017","RafiqulI_2022","ZellerG_2014B","JiangQ_2019","ZhengX_2017","ZiganshinaE_2020","WangK_2016","LeeW_2017","MoskovitzM_2021","LeeY_2025","ArmstrongA_2023b","MakinenA_2023","BelstromD_2021","HuangC_2022","WangX_2020","AbdelbaryM_2022","LinM_2020","WangQ_2019","ArmstrongA_2023a","WangT_2018","DebeliusJ_2020","GuptaA_2022","FanX_2018b"
"Odoribacter_splanchnicus",NA,1,1,1,-3,NA,-3,NA,-1,3,NA,-1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,-3,NA,-1,NA,NA,NA,NA,2,-1,NA,2,1,1,-1,NA,NA
"Lactobacillus_animata",NA,-1,NA,NA,-3,1,-1,NA,1,-2,-1,NA,3,-1,NA,NA,-1,NA,2,NA,NA,-1,1,-1,1,NA,-3,NA,NA,-1,-1,NA,NA,NA,-3,1,NA,NA
"Clostridium_bartlettii",NA,2,-2,-1,-2,NA,-1,NA,2,1,NA,-1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,-3,NA,-1,NA,NA,NA,NA,1,2,-1,NA,-1,-3,NA,NA,1
"Pseudoflavonifractor_capillosus",NA,-1,-1,NA,1,NA,1,NA,-1,NA,NA,-1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-3,NA,1,NA,NA,NA,-1,1,1,-1,1,-1,1,NA,NA,NA
"Coprococcus_catus",NA,1,-3,1,-1,NA,-1,NA,-1,3,NA,-3,NA,1,NA,NA,2,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,1,-1,-1,NA,1,NA,NA,NA,NA
"Clostridium_scindens",NA,1,1,NA,-1,NA,NA,NA,-1,1,NA,-3,NA,NA,NA,NA,1,NA,-1,NA,NA,NA,-3,NA,NA,NA,NA,NA,1,2,-1,-1,NA,-1,3,NA,NA,NA
"Bacteroides_cellulosilyticus",NA,1,1,3,-2,NA,-2,NA,-2,1,NA,-2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,1,NA,NA,NA,NA,1,1,NA,NA,-1,-3,NA,NA,NA
"Eubacterium_ventriosum",NA,3,-1,1,-1,NA,-1,NA,-1,3,NA,-3,-1,-1,NA,NA,NA,NA,NA,NA,NA,-1,-3,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,-1,-3,1,NA,NA
"Streptococcus_troglodytae",NA,1,NA,NA,NA,-1,-1,NA,NA,-1,-1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,-1,NA,1,NA,NA,1,NA,NA,NA,-1,NA,-2,NA,NA
"Porphyromonas_somerae",1,NA,NA,NA,NA,NA,-1,1,-3,NA,-1,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
"Haemophilus_quentini",-1,NA,NA,NA,-1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,-3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Methylobacterium_jeotgali",NA,NA,NA,1,NA,-1,-2,NA,NA,-1,NA,3,-1,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,1,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-1
"Ruminococcus_callidus",NA,3,1,1,-3,NA,1,NA,-1,3,NA,-3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-3,NA,NA,NA
"Aggregatibacter_sp_oral_taxon_458",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,-1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lachnospiraceae_bacterium_oral_taxon_096",3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptotrichia_sp_oral_taxon_215",1,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neisseria_sp_oral_taxon_014",-2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,-1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prevotella_sp_oral_taxon_306",3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prevotella_sp_oral_taxon_473",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tannerella_sp_oral_taxon_HOT_286",1,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinomyces_sp_HMSC035G02",-1,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinomyces_sp_ICM47",-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinomyces_sp_oral_taxon_181",1,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oribacterium_parvum",3,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Streptococcus_sp_A12",-1,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,-1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Veillonella_infantium",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Veillonella_sp_T11011_6",-1,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,-1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
